id,frame_id,character,script,emotion
AnotherMissOh01_001_0100,AnotherMissOh01_001_0100_IMAGE_0000006346,Jeongsuk,"Oh, mother, I(Jeongsuk)'m not complaining that I(Jeongsuk) had a difficult time as a daughter-in-law. 
",Happiness
AnotherMissOh01_001_0100,AnotherMissOh01_001_0100_IMAGE_0000006346,Jeongsuk,"You know I(Jeongsuk) love you?
",Happiness
AnotherMissOh01_001_0104,AnotherMissOh01_001_0104_IMAGE_0000006663,Deogi,Why are you(Haeyoung1) eating with your(Haeyoung1) hands?,Neutral
AnotherMissOh01_001_0104,AnotherMissOh01_001_0104_IMAGE_0000006663,Deogi,"People are going to say that you(Haeyoung1) have no class if you(Haeyoung1) do that at your(Haeyoung1) in-law's. 
",Neutral
AnotherMissOh01_001_0104,AnotherMissOh01_001_0104_IMAGE_0000006663,Deogi,"They may not say it aloud, but they will definitely be judgmental. 
",Neutral
AnotherMissOh01_001_0104,AnotherMissOh01_001_0104_IMAGE_0000006663,Deogi,"Have you(Haeyoung1) gone to the sauna yet? I(Deogi) don't think you(Haeyoung1) did so yesterday.
",Neutral
AnotherMissOh01_001_0105,AnotherMissOh01_001_0105_IMAGE_0000006948,Deogi,"Have you(Haeyoung1) gone to the sauna yet? I(Deogi) don't think you(Haeyoung1) did so yesterday.
",Anger
AnotherMissOh01_001_0105,AnotherMissOh01_001_0105_IMAGE_0000006948,Deogi,Why? You(Haeyoung1) said you(Haeyoung1) were going to.,Anger
AnotherMissOh01_001_0107,AnotherMissOh01_001_0107_IMAGE_0000007172,Haeyoung1,I(Haeyoung1) am not going to get married.,Sadness
AnotherMissOh01_001_0108,AnotherMissOh01_001_0108_IMAGE_0000007229,Deogi,What are you(Haeyoung1) talking about?,Neutral
AnotherMissOh01_001_0108,AnotherMissOh01_001_0108_IMAGE_0000007229,Deogi,Just what in the world are you(Haeyoung1) trying to say now?,Neutral
AnotherMissOh01_001_0109,AnotherMissOh01_001_0109_IMAGE_0000007293,Haeyoung1,I(Haeyoung1) said I(Haeyoung1)'m not going to get married.,Sadness
AnotherMissOh01_001_0111,AnotherMissOh01_001_0111_IMAGE_0000007398,Deogi,"You(Haeyoung1) must be out of your mind, saying such things out of the blue.",Neutral
AnotherMissOh01_001_0112,AnotherMissOh01_001_0112_IMAGE_0000007461,Haeyoung1,"I(Haeyoung1) told Taejin that I(Haeyoung1) won't be marrying him(Taejin), before I(Haeyoung1) got home today. ",Sadness
AnotherMissOh01_001_0113,AnotherMissOh01_001_0113_IMAGE_0000007503,Deogi,Hey!,Surprise
AnotherMissOh01_001_0114,AnotherMissOh01_001_0114_IMAGE_0000007547,Haeyoung1,"While we(Haeyoung1,Taejin) were preparing for the wedding, we(Haeyoung1,Taejin) fought all the time. 
",Neutral
AnotherMissOh01_001_0119,AnotherMissOh01_001_0119_IMAGE_0000007711,Deogi,"What are you(Haeyoung1) saying?! The ceremony is tomorrow! 
",Surprise
AnotherMissOh01_001_0124,AnotherMissOh01_001_0124_IMAGE_0000007848,Deogi,"Are you(Haeyoung1) joking now? Have you(Haeyoung1) lost your(Haeyoung1) mind?
",Anger
AnotherMissOh01_001_0124,AnotherMissOh01_001_0124_IMAGE_0000007848,Deogi,"It's natural for couples to bicker while preparing for their weddings. Is no reason to call it off?
",Anger
AnotherMissOh01_001_0129,AnotherMissOh01_001_0129_IMAGE_0000008085,Jeongsuk,What's wrong?,Surprise
AnotherMissOh01_001_0130,AnotherMissOh01_001_0130_IMAGE_0000008128,Haeyoung1,"I(Haeyoung1)'m sorry, Grandma, but I(Haeyoung1)'m not getting married.",Neutral
AnotherMissOh01_001_0138,AnotherMissOh01_001_0138_IMAGE_0000008460,Deogi,"All women are like that. Women get stressed out and have silly thoughts just before our weddings. 
",Anger
AnotherMissOh01_001_0138,AnotherMissOh01_001_0138_IMAGE_0000008460,Deogi,"That's all this is. Even so, you(Taejin) should be the reasonable one. 
",Anger
AnotherMissOh01_001_0139,AnotherMissOh01_001_0139_IMAGE_0000008554,Deogi,"What do you(Taejin) want me(Deogi) to do? You(Taejin) must come tomorrow. 
",Anger
AnotherMissOh01_001_0141,AnotherMissOh01_001_0141_IMAGE_0000008706,Deogi,"I(Deogi)'ll drag Haeyoung to the altar no matter what, so you(Taejin) just have to come. 
",Anger
AnotherMissOh01_001_0142,AnotherMissOh01_001_0142_IMAGE_0000008738,Deogi,"I(Deogi)'ll drag Haeyoung to the altar no matter what, so you(Taejin) just have to come. 
",Anger
AnotherMissOh01_001_0144,AnotherMissOh01_001_0144_IMAGE_0000008800,Deogi,"Don't worry and come!
",Anger
AnotherMissOh01_001_0145,AnotherMissOh01_001_0145_IMAGE_0000008883,Deogi,"You(Haeyoung1)... must go to the ceremony tomorrow. If you(Haeyoung1) don't, you(Haeyoung1) are dead meat.",Anger
AnotherMissOh01_001_0146,AnotherMissOh01_001_0146_IMAGE_0000009033,Haeyoung1,"How many times do I(Haeyoung1) have to tell you(Deogi). This is all over. Taejin understands, too.",Anger
AnotherMissOh01_001_0150,AnotherMissOh01_001_0150_IMAGE_0000009146,Deogi,And why aren't you(Haeyoung1) getting married? Why don't you(Haeyoung1) do it? Why?! ,Anger
AnotherMissOh01_001_0151,AnotherMissOh01_001_0151_IMAGE_0000009196,Deogi,And why aren't you(Haeyoung1) getting married? Why don't you(Haeyoung1) do it? Why?! ,Anger
AnotherMissOh01_001_0151,AnotherMissOh01_001_0151_IMAGE_0000009196,Haeyoung1,I(Haeyoung1) don't want to! How can I(Haeyoung1) marry him(Taejin) when I(Haeyoung1) can't even stand watching him(Taejin) eat!?,Sadness
AnotherMissOh01_002_0166,AnotherMissOh01_002_0166_IMAGE_0000010066,Kyungsu,"Yes? It just ended up that way. 
",Sadness
AnotherMissOh01_002_0167,AnotherMissOh01_002_0167_IMAGE_0000010176,Kyungsu,"Yes? It just ended up that way. 
",Sadness
AnotherMissOh01_002_0167,AnotherMissOh01_002_0167_IMAGE_0000010176,Kyungsu,"I(Kyungsu)'m sorry. Yes, I(Kyungsu)'m sorry. I(Kyungsu)'m sorry.
",Sadness
AnotherMissOh01_002_0167,AnotherMissOh01_002_0167_IMAGE_0000010296,Deogi,"Crazy wench. Oh, crazy wench.",Sadness
AnotherMissOh01_002_0188,AnotherMissOh01_002_0188_IMAGE_0000011252,Deogi,"Are you(Haeyoung1) a human? Are you(Haeyoung1) even a human being?
",Anger
AnotherMissOh01_002_0188,AnotherMissOh01_002_0188_IMAGE_0000011252,Deogi,"Still smiling after you(Haeyoung1) called off the wedding?
",Anger
AnotherMissOh01_002_0190,AnotherMissOh01_002_0190_IMAGE_0000011359,Haeyoung1,"It's a hundred times better to not marry instead of marrying then splitting up later! 
",Fear
AnotherMissOh01_002_0191,AnotherMissOh01_002_0191_IMAGE_0000011401,Haeyoung1,"It's a hundred times better to not marry instead of marrying then splitting up later! 
",Fear
AnotherMissOh01_002_0191,AnotherMissOh01_002_0191_IMAGE_0000011401,Haeyoung1,"We(Haeyoung1,Taejin) wouldn't have been able to live together for a long time anyway!
",Fear
AnotherMissOh01_002_0194,AnotherMissOh01_002_0194_IMAGE_0000011481,Deogi,"If you(Haeyoung1) weren't going to marry him(Taejin), then why did you(Haeyoung1) bring him(Taejin) home?
",Anger
AnotherMissOh01_002_0196,AnotherMissOh01_002_0196_IMAGE_0000011543,Deogi,"If you(Haeyoung1) weren't going to marry him(Taejin), then why did you(Haeyoung1) bring him(Taejin) home?
",Anger
AnotherMissOh01_002_0197,AnotherMissOh01_002_0197_IMAGE_0000011597,Deogi,"How could you(Haeyoung1) do this? It's such an embarrassment!
",Anger
AnotherMissOh01_002_0197,AnotherMissOh01_002_0197_IMAGE_0000011621,Haeyoung1,Seriously! Then should I(Haeyoung1) torture to myself and live with him(Taejin)? ,Fear
AnotherMissOh01_002_0198,AnotherMissOh01_002_0198_IMAGE_0000011744,Haeyoung1,Seriously! Then should I(Haeyoung1) torture to myself and live with him(Taejin)? ,Fear
AnotherMissOh01_002_0199,AnotherMissOh01_002_0199_IMAGE_0000011790,Haeyoung1,Seriously! Then should I(Haeyoung1) torture to myself and live with him(Taejin)? ,Fear
AnotherMissOh01_002_0199,AnotherMissOh01_002_0199_IMAGE_0000011814,Deogi,You(Haeyoung1) brat! How could you(Haeyoung1) talk back like this? What are you(Haeyoung1) doing?,Anger
AnotherMissOh01_002_0200,AnotherMissOh01_002_0200_IMAGE_0000011950,Kyungsu,"Something came up. Yes. I(Kyungsu)'m sorry. 
",Neutral
AnotherMissOh01_002_0200,AnotherMissOh01_002_0200_IMAGE_0000011950,Kyungsu,"Yes. Yes. Yes, I(Kyungsu)'m sorry.
",Neutral
AnotherMissOh01_002_0200,AnotherMissOh01_002_0200_IMAGE_0000011950,Kyungsu,"Yes, yes.",Neutral
AnotherMissOh01_003_0213,AnotherMissOh01_003_0213_IMAGE_0000012807,Haeyoung1,Hello.,Happiness
AnotherMissOh01_003_0216,AnotherMissOh01_003_0216_IMAGE_0000012913,Haeyoung1,Hello.,Happiness
AnotherMissOh01_004_0240,AnotherMissOh01_004_0240_IMAGE_0000014636,Sukyung,"Let's say that I(Sukyung)'m fine with the iron pots.
",Anger
AnotherMissOh01_004_0240,AnotherMissOh01_004_0240_IMAGE_0000014636,Sukyung,"But now you(Haeyoung1) want to add a pounder for the restaurant, too?
",Anger
AnotherMissOh01_004_0241,AnotherMissOh01_004_0241_IMAGE_0000014693,Sukyung,"But now you(Haeyoung1) want to add a pounder for the restaurant, too?
",Anger
AnotherMissOh01_004_0242,AnotherMissOh01_004_0242_IMAGE_0000014751,Haeyoung1,"No matter how high quality our(Haeyoung1,Sukyung) rice is, we(Haeyoung1,Sukyung) are unable to get a fresh taste.",Neutral
AnotherMissOh01_004_0243,AnotherMissOh01_004_0243_IMAGE_0000014785,Haeyoung1,"No matter how high quality our(Haeyoung1,Sukyung) rice is, we(Haeyoung1,Sukyung) are unable to get a fresh taste.",Neutral
AnotherMissOh01_004_0244,AnotherMissOh01_004_0244_IMAGE_0000014834,Sukyung,"Do we(Haeyoung1,Sukyung) only sell rice?",Anger
AnotherMissOh01_004_0244,AnotherMissOh01_004_0244_IMAGE_0000014858,Haeyoung1,Rice is at the core of Korean food.,Happiness
AnotherMissOh01_004_0245,AnotherMissOh01_004_0245_IMAGE_0000014870,Haeyoung1,Rice is at the core of Korean food.,Happiness
AnotherMissOh01_004_0247,AnotherMissOh01_004_0247_IMAGE_0000014921,Sukyung,"How many times do I(Sukyung) have to tell you(Haeyoung1) that rice isn't enough for us(Sukyung,Haeyoung1) to reclaim first place in our(Sukyung,Haeyoung1) business ranking?
",Anger
AnotherMissOh01_004_0248,AnotherMissOh01_004_0248_IMAGE_0000014949,Sukyung,"How many times do I(Sukyung) have to tell you(Haeyoung1) that rice isn't enough for us(Sukyung,Haeyoung1) to reclaim first place in our(Sukyung,Haeyoung1) business ranking?
",Anger
AnotherMissOh01_004_0251,AnotherMissOh01_004_0251_IMAGE_0000015021,Sukyung,"Rice... stop focusing on the rice. 
",Anger
AnotherMissOh01_004_0252,AnotherMissOh01_004_0252_IMAGE_0000015099,Sukyung,"Rice... stop focusing on the rice. 
",Anger
AnotherMissOh01_004_0254,AnotherMissOh01_004_0254_IMAGE_0000015176,Sukyung,"Rice... stop focusing on the rice. 
",Anger
AnotherMissOh01_004_0264,AnotherMissOh01_004_0264_IMAGE_0000015545,Sukyung,"This morning on my(Sukyung) way to work, I(Sukyung) heard that I(Sukyung) have a new nickname. 
",Neutral
AnotherMissOh01_004_0267,AnotherMissOh01_004_0267_IMAGE_0000015647,Sukyung,"What was it again? ""Isadora?""
",Neutral
AnotherMissOh01_004_0267,AnotherMissOh01_004_0267_IMAGE_0000015647,Sukyung,"At first I(Sukyung) thought it referred to the modern dancer, Isadora Duncan, but that's not it. 
",Neutral
AnotherMissOh01_004_0267,AnotherMissOh01_004_0267_IMAGE_0000015647,Sukyung,"I(Sukyung) heard it's ""Issa-ddorai"" ""Ddorai"" because I(Sukyung)'m a psychotic director. What does it mean?
",Neutral
AnotherMissOh01_004_0272,AnotherMissOh01_004_0272_IMAGE_0000016024,Sukyung,I(Sukyung) asked you(Haeyoung1) what this means.,Anger
AnotherMissOh01_004_0273,AnotherMissOh01_004_0273_IMAGE_0000016090,Sukyung,I(Sukyung) asked you(Haeyoung1) what this means.,Neutral
AnotherMissOh01_004_0274,AnotherMissOh01_004_0274_IMAGE_0000016278,Haeyoung1,"You(Sukyung) wander around 24/7,
",Anger
AnotherMissOh01_004_0274,AnotherMissOh01_004_0274_IMAGE_0000016278,Haeyoung1,"so it's ""Isa 24 hours - Ddora wander how about""
",Anger
AnotherMissOh01_004_0279,AnotherMissOh01_004_0279_IMAGE_0000016579,Haeyoung1,"when our higher-ups stay put in their offices,
",Neutral
AnotherMissOh01_004_0279,AnotherMissOh01_004_0279_IMAGE_0000016579,Haeyoung1,"but we think you(Sukyung) wander around too much.
",Neutral
AnotherMissOh01_004_0284,AnotherMissOh01_004_0284_IMAGE_0000016783,Sukyung,"Are you(Haeyoung1) the one that's playing around at work? 
",Anger
AnotherMissOh01_004_0284,AnotherMissOh01_004_0284_IMAGE_0000016783,Sukyung,"Why else would you(Haeyoung1) be concerned if I(Sukyung) go back and forth at work?
",Anger
AnotherMissOh01_004_0286,AnotherMissOh01_004_0286_IMAGE_0000016952,Sukyung,"I(Sukyung) have irritable bowel syndrome, so I(Sukyung) need to go to the toilet often. 
",Anger
AnotherMissOh01_004_0288,AnotherMissOh01_004_0288_IMAGE_0000017040,Sukyung,"I(Sukyung) have irritable bowel syndrome, so I(Sukyung) need to go to the toilet often. 
",Neutral
AnotherMissOh01_004_0288,AnotherMissOh01_004_0288_IMAGE_0000017040,Sukyung,"Shall we(Sukyung,Haeyoung1) continue to talk in my(Sukyung) office or what? 
",Neutral
AnotherMissOh01_004_0289,AnotherMissOh01_004_0289_IMAGE_0000017133,Haeyoung1,I(Haeyoung1)'m sorry.,Neutral
AnotherMissOh01_004_0290,AnotherMissOh01_004_0290_IMAGE_0000017327,Sukyung,"In human relationships,
",Neutral
AnotherMissOh01_004_0290,AnotherMissOh01_004_0290_IMAGE_0000017327,Sukyung,"in human relationships, there are such things as manners and limits. 
",Neutral
AnotherMissOh01_004_0290,AnotherMissOh01_004_0290_IMAGE_0000017327,Sukyung,"Talking behind your(Haeyoung1) superior's back and calling her(Sukyung) names, 
",Neutral
AnotherMissOh01_004_0291,AnotherMissOh01_004_0291_IMAGE_0000017365,Sukyung,"Talking behind your(Haeyoung1) superior's back and calling her(Sukyung) names, 
",Neutral
AnotherMissOh01_004_0291,AnotherMissOh01_004_0291_IMAGE_0000017365,Sukyung,"if you(Haeyoung1) think that's a charming point, you(Haeyoung1) must be deluded. 
",Neutral
AnotherMissOh01_004_0291,AnotherMissOh01_004_0291_IMAGE_0000017365,Sukyung,"Just like how you(Haeyoung1) believe that you(Haeyoung1) were brave for calling off your(Haeyoung1) wedding. 
",Neutral
AnotherMissOh01_004_0298,AnotherMissOh01_004_0298_IMAGE_0000017847,Sukyung,"You(Haeyoung1) may leave.
",Anger
AnotherMissOh01_004_0298,AnotherMissOh01_004_0298_IMAGE_0000017743,Haeyoung1,"It's been seven times.
",Neutral
AnotherMissOh01_004_0299,AnotherMissOh01_004_0299_IMAGE_0000017914,Haeyoung1,"I(Haeyoung1) counted how many times you(Sukyung) gave me(Haeyoung1) a hard time because I(Haeyoung1) called off my(Haeyoung1) wedding.
",Anger
AnotherMissOh01_004_0299,AnotherMissOh01_004_0299_IMAGE_0000018034,Sukyung,It's nine times. I(Sukyung) have been counting as well.,Anger
AnotherMissOh01_004_0310,AnotherMissOh01_004_0310_IMAGE_0000018597,Haeyoung1,"Argh! Why is her(Sukyung) personality like that? 
",Happiness
AnotherMissOh01_004_0310,AnotherMissOh01_004_0310_IMAGE_0000018597,Haeyoung1,"She(Sukyung) should just live comfortably so that other people can breathe a little! 
",Happiness
AnotherMissOh01_005_0311,AnotherMissOh01_005_0311_IMAGE_0000018673,Haeyoung1,"She(Sukyung) should just live comfortably so that other people can breathe a little! 
",Happiness
AnotherMissOh01_005_0311,AnotherMissOh01_005_0311_IMAGE_0000018673,Haeyoung1,"Does she(Sukyung) think that's ""charming?"" What? Since she(Sukyung) is ugly, at least she(Sukyung) doesn't want to seem easy?
",Happiness
AnotherMissOh01_005_0312,AnotherMissOh01_005_0312_IMAGE_0000018793,Haeyoung1,"Does she(Sukyung) think that's ""charming?"" What? Since she(Sukyung) is ugly, at least she(Sukyung) doesn't want to seem easy?
",Neutral
AnotherMissOh01_005_0313,AnotherMissOh01_005_0313_IMAGE_0000018876,Sungjin,That's it.,Happiness
AnotherMissOh01_005_0313,AnotherMissOh01_005_0313_IMAGE_0000018908,Haeyoung1,"She(Sukyung) says that she(Sukyung) has irritable bowel syndrome. Unbelievable. 
",Anger
AnotherMissOh01_005_0314,AnotherMissOh01_005_0314_IMAGE_0000018981,Haeyoung1,"She(Sukyung) says that she(Sukyung) has irritable bowel syndrome. Unbelievable. 
",Anger
AnotherMissOh01_005_0316,AnotherMissOh01_005_0316_IMAGE_0000019035,Haeyoung1,"You should see how much she(Sukyung) drinks. Since I(Haeyoung1) drink, I(Haeyoung1) know. 
",Neutral
AnotherMissOh01_005_0316,AnotherMissOh01_005_0316_IMAGE_0000019035,Haeyoung1,"Unless you pour it down your throat, you wouldn't need to go to the bathroom so often. 
",Neutral
AnotherMissOh01_005_0317,AnotherMissOh01_005_0317_IMAGE_0000019113,Haeyoung1,"Unless you pour it down your throat, you wouldn't need to go to the bathroom so often. 
",Anger
AnotherMissOh01_005_0318,AnotherMissOh01_005_0318_IMAGE_0000019190,Haeyoung1,"Unless you pour it down your throat, you wouldn't need to go to the bathroom so often. 
",Anger
AnotherMissOh01_005_0318,AnotherMissOh01_005_0318_IMAGE_0000019190,Haeyoung1,"She(Sukyung) doesn't drink,
",Anger
AnotherMissOh01_005_0320,AnotherMissOh01_005_0320_IMAGE_0000019401,Haeyoung1,"I(Haeyoung1) wonder where does she(Sukyung) drinks all night long and with whom? 
",Neutral
AnotherMissOh01_005_0322,AnotherMissOh01_005_0322_IMAGE_0000019520,Haeyoung1,"That's why she(Sukyung) looks like that! Her(Sukyung) face looks like a soaked potato. We have to watch and learn from her(Sukyung).
",Anger
AnotherMissOh01_005_0323,AnotherMissOh01_005_0323_IMAGE_0000019564,Haeyoung1,"That's why she(Sukyung) looks like that! Her(Sukyung) face looks like a soaked potato. We have to watch and learn from her(Sukyung).
",Anger
AnotherMissOh01_005_0323,AnotherMissOh01_005_0323_IMAGE_0000019564,Haeyoung1,"If we drink when we are over the age of forty, we will end up looking like that!
",Anger
AnotherMissOh01_005_0324,AnotherMissOh01_005_0324_IMAGE_0000019684,Haeyoung1,"If we drink when we are over the age of forty, we will end up looking like that!
",Neutral
AnotherMissOh01_005_0332,AnotherMissOh01_005_0332_IMAGE_0000020116,Haeyoung1,"That's why you were all quiet? To see how far I(Haeyoung1) would go? 
",Neutral
AnotherMissOh01_005_0340,AnotherMissOh01_005_0340_IMAGE_0000020506,Haeyoung1,"Team Leader, I(Haeyoung1) didn't know you(Sungjin) were like this.
",Anger
AnotherMissOh01_006_0365,AnotherMissOh01_006_0365_IMAGE_0000022675,Dokyung,"Cut! Cut!
",Neutral
AnotherMissOh01_006_0367,AnotherMissOh01_006_0367_IMAGE_0000022808,Dokyung,"I(Dokyung)'m exhausted! I(Dokyung) told you(Gitae) that it's not a simple fracture if the bone breaks, right?
",Neutral
AnotherMissOh01_006_0367,AnotherMissOh01_006_0367_IMAGE_0000022808,Dokyung,"It's a compound fracture! It's not one snap. But snap-snap-snap!
",Neutral
AnotherMissOh01_006_0368,AnotherMissOh01_006_0368_IMAGE_0000022881,Dokyung,"It's a compound fracture! It's not one snap. But snap-snap-snap!
",Neutral
AnotherMissOh01_006_0368,AnotherMissOh01_006_0368_IMAGE_0000022857,Gitae,"Give me(Gitae) a break! 
",Anger
AnotherMissOh01_006_0369,AnotherMissOh01_006_0369_IMAGE_0000022940,Gitae,"Give me(Gitae) a break! 
",Anger
AnotherMissOh01_006_0369,AnotherMissOh01_006_0369_IMAGE_0000022940,Gitae,"Who will be able to tell the difference? Even an orthopedic surgeon couldn't tell the difference!
",Anger
AnotherMissOh01_006_0370,AnotherMissOh01_006_0370_IMAGE_0000023008,Gitae,"Who will be able to tell the difference? Even an orthopedic surgeon couldn't tell the difference!
",Anger
AnotherMissOh01_006_0370,AnotherMissOh01_006_0370_IMAGE_0000023040,Dokyung,I(Dokyung) can tell the difference.,Neutral
AnotherMissOh01_006_0371,AnotherMissOh01_006_0371_IMAGE_0000023064,Dokyung,I(Dokyung) can tell the difference.,Neutral
AnotherMissOh01_006_0372,AnotherMissOh01_006_0372_IMAGE_0000023094,Gitae,"Ah, yes! Good for you(Gitae) then. Huh?",Anger
AnotherMissOh01_006_0372,AnotherMissOh01_006_0372_IMAGE_0000023166,Dokyung,"Ah, yes. Good for me(Dokyung)?",Neutral
AnotherMissOh01_006_0372,AnotherMissOh01_006_0372_IMAGE_0000023094,Gitae,"Yeah. How should, how should we(Gitae,Sangseok) do it then? Huh? What do you(Dokyung) want? You(Dokyung) want us(Gitae,Sangseok) to break my(Gitae) own arm? 
",Anger
AnotherMissOh01_006_0374,AnotherMissOh01_006_0374_IMAGE_0000023317,Gitae,"Bring it up for no big faster alternative! Huh?
",Anger
AnotherMissOh01_006_0374,AnotherMissOh01_006_0374_IMAGE_0000023317,Gitae,"I(Gitae)'m sorry. I(Gitae) didn't get enough sleep, so I(Gitae)'m not in a right state of mind.
",Anger
AnotherMissOh01_006_0374,AnotherMissOh01_006_0374_IMAGE_0000023317,Gitae,I(Gitae)'m sorry.,Anger
AnotherMissOh01_006_0374,AnotherMissOh01_006_0374_IMAGE_0000023317,Gitae,"I(Gitae) didn't get enough sleep, so I(Gitae)'m not in a right state of mind. I(Gitae)'m sorry. I(Gitae)'m sorry.",Anger
AnotherMissOh01_006_0375,AnotherMissOh01_006_0375_IMAGE_0000023606,Gitae,"I(Gitae) didn't get enough sleep, so I(Gitae)'m not in a right state of mind. I(Gitae)'m sorry. I(Gitae)'m sorry.",Anger
AnotherMissOh01_006_0376,AnotherMissOh01_006_0376_IMAGE_0000023695,Gitae,"I(Gitae) didn't get enough sleep, so I(Gitae)'m not in a right state of mind. I(Gitae)'m sorry. I(Gitae)'m sorry.",Anger
AnotherMissOh01_006_0377,AnotherMissOh01_006_0377_IMAGE_0000023726,Dokyung,"We(Gitae,Dokyung,Sangseok) do it again in an hour.",Neutral
AnotherMissOh01_006_0378,AnotherMissOh01_006_0378_IMAGE_0000023901,Gitae,"I(Gitae) seriously hate the way he(Dokyung) even looks you(Sangseok) know what I(Gitae) mean, it's!",Anger
AnotherMissOh01_007_0389,AnotherMissOh01_007_0389_IMAGE_0000024752,Hun,Go ahead.,Neutral
AnotherMissOh01_007_0390,AnotherMissOh01_007_0390_IMAGE_0000024794,Dokyung,"First of all, tell me(Dokyung) the truth—",Neutral
AnotherMissOh01_007_0391,AnotherMissOh01_007_0391_IMAGE_0000024844,Hun,I(Hun) have nothing to tell. I(Hun) did after seeing the ambience.,Neutral
AnotherMissOh01_007_0392,AnotherMissOh01_007_0392_IMAGE_0000024898,Dokyung,"Was it recorded during the day? 
",Neutral
AnotherMissOh01_007_0393,AnotherMissOh01_007_0393_IMAGE_0000025039,Dokyung,"Was it recorded during the day? 
",Anger
AnotherMissOh01_007_0393,AnotherMissOh01_007_0393_IMAGE_0000025039,Dokyung,"Take a look at the video. It's night! Don't you(Hun) know the night?
",Anger
AnotherMissOh01_007_0393,AnotherMissOh01_007_0393_IMAGE_0000024919,Hun,Are you(Dokyung) crazy? Who would be able to tell that?,Neutral
AnotherMissOh01_007_0394,AnotherMissOh01_007_0394_IMAGE_0000025141,Dokyung,"I(Dokyung) told you(Hun) everything from the temperature to the humidity during the day and night are different. So things sound completely different! 
",Anger
AnotherMissOh01_007_0396,AnotherMissOh01_007_0396_IMAGE_0000025291,Dokyung,"How many times have I(Dokyung) said so? Just listen to it. The tone is completely different! Are you(Hun) deaf? 
",Anger
AnotherMissOh01_007_0397,AnotherMissOh01_007_0397_IMAGE_0000025412,Dokyung,"How many times have I(Dokyung) said so? Just listen to it. The tone is completely different! Are you(Hun) deaf? 
",Anger
